uniprot,gene_name,bnum,cog_class
P33940,mqo,b2210,POORLY CHARACTERIZED
P67087,rsmI,b3146,POORLY CHARACTERIZED
P21367,ycaC,b0897,METABOLISM
P04846,nlpA,b3661,METABOLISM
P31142,sseA,b2521,METABOLISM
P77318,ydeN,b1498,METABOLISM
P0AG82,pstS,b3728,METABOLISM
P07821,fhuC,b0151,METABOLISM
P06610,btuE,b1710,CELLULAR PROCESSES AND SIGNALING
P0AEG6,dsbC,b2893,CELLULAR PROCESSES AND SIGNALING
P0AEG4,dsbA,b3860,CELLULAR PROCESSES AND SIGNALING
P77522,sufB,b1683,CELLULAR PROCESSES AND SIGNALING
P77499,sufC,b1682,CELLULAR PROCESSES AND SIGNALING
P0ACA7,gstB,b0838,CELLULAR PROCESSES AND SIGNALING
P0A9D2,gstA,b1635,CELLULAR PROCESSES AND SIGNALING
P04949,fliC,b1923,CELLULAR PROCESSES AND SIGNALING
P69776,lpp,b1677,CELLULAR PROCESSES AND SIGNALING
P02919,mrcB,b0149,CELLULAR PROCESSES AND SIGNALING
P17952,murC,b0091,CELLULAR PROCESSES AND SIGNALING
P11880,murF,b0086,CELLULAR PROCESSES AND SIGNALING
P0A912,pal,b0741,CELLULAR PROCESSES AND SIGNALING
P60390,rsmH,b0082,CELLULAR PROCESSES AND SIGNALING
P0ACB0,dnaB,b4052,INFORMATION STORAGE AND PROCESSING
P43329,hrpA,b1413,INFORMATION STORAGE AND PROCESSING
P09030,xthA,b1749,INFORMATION STORAGE AND PROCESSING
P0AF20,nagC,b0676,INFORMATION STORAGE AND PROCESSING
P0A7C2,lexA,b4043,INFORMATION STORAGE AND PROCESSING
P0AFM6,pspA,b1304,INFORMATION STORAGE AND PROCESSING
P23882,fmt,b3288,INFORMATION STORAGE AND PROCESSING
P60723,rplD,b3319,INFORMATION STORAGE AND PROCESSING
P0ADY3,rplN,b3310,INFORMATION STORAGE AND PROCESSING
P0AG44,rplQ,b3294,INFORMATION STORAGE AND PROCESSING
P60624,rplX,b3309,INFORMATION STORAGE AND PROCESSING
P0A7R5,rpsJ,b3321,INFORMATION STORAGE AND PROCESSING
P0A7S9,rpsM,b3298,INFORMATION STORAGE AND PROCESSING
P0AEI4,rimO,b0835,INFORMATION STORAGE AND PROCESSING
P21151,fadA,b3845,METABOLISM
P0AET8,hdhA,b1619,METABOLISM
P76503,fadI,b2342,METABOLISM
P77399,fadJ,b2341,METABOLISM
P06983,hemC,b3805,METABOLISM
P0ACB7,hemY,b3802,METABOLISM
P11458,nadA,b0750,METABOLISM
P24186,folD,b0529,METABOLISM
P0AEJ2,entC,b0593,METABOLISM
P17993,ubiG,b2232,METABOLISM
P75913,ghrA,b1033,METABOLISM
P0A7Z0,rpiA,b2914,METABOLISM
P46130,ybhC,b0772,METABOLISM
P76143,lsrF,b1517,METABOLISM
P0ADG4,suhB,b2533,METABOLISM
P08178,purM,b2499,METABOLISM
P08244,pyrF,b1281,METABOLISM
P00452-2,nrdA,b2234,METABOLISM
P12008,aroC,b2329,METABOLISM
P0A6J5,dadA,b1189,METABOLISM
P00926,dsdA,b2366,METABOLISM
P30126,leuD,b0071,METABOLISM
P31133,potF,b0854,METABOLISM
P00547,thrB,b0003,METABOLISM
P0A6D7,aroK,b3390,METABOLISM
P0ADF8,ilvN,b3670,METABOLISM
P75823,ltaE,b0870,METABOLISM
Q46863,ygiS,b3020,METABOLISM
P76027,oppD,b1246,METABOLISM
P30860,artJ,b0860,METABOLISM
P0A7A9,ppa,b4226,METABOLISM
P0ABJ9,cydA,b0733,METABOLISM
P0ABI8,cyoB,b0431,METABOLISM
P42593,fadH,b3081,METABOLISM
P0A8P3,yggX,b2962,METABOLISM
P76621,csiD,b2659,
P0AAT9,ybeL,b0643,
P39401,mdoB,,
P37626,yhiI,b3487,CELLULAR PROCESSES AND SIGNALING
P77485,cusS,b0570,CELLULAR PROCESSES AND SIGNALING
P69407,rcsB,b2217,CELLULAR PROCESSES AND SIGNALING
P0AAX8,ybiS,b0819,POORLY CHARACTERIZED
P0A8X2,yceI,b1056,POORLY CHARACTERIZED
P0A8H6,yihI,b3866,POORLY CHARACTERIZED
P77649,ydiU,b1706,POORLY CHARACTERIZED
P37691,yibQ,b3614,POORLY CHARACTERIZED
P0AFH8,osmY,b4376,POORLY CHARACTERIZED
P75874,yccU,b0965,POORLY CHARACTERIZED
P45470,yhbO,b3153,POORLY CHARACTERIZED
P0A8Y5,yidA,b3697,POORLY CHARACTERIZED
P0AGE6,yieF,b3713,POORLY CHARACTERIZED
Q47679,yafV,b0219,POORLY CHARACTERIZED
P75863,ycbX,b0947,POORLY CHARACTERIZED
P0A9W9,yrdA,b3279,POORLY CHARACTERIZED
P36649,cueO,b0123,METABOLISM
P0ABU5,elbB,b3209,METABOLISM
P0ADI4,entB,b0595,METABOLISM
P64604,mlaD,b3193,METABOLISM
P0A9A9,fur,b0683,METABOLISM
P61517,can,b0126,METABOLISM
P31060,modF,b0760,METABOLISM
P0AG78,sbp,b3917,METABOLISM
P39172,znuA,b1857,METABOLISM
P0A6L9,hscB,b2527,CELLULAR PROCESSES AND SIGNALING
P42620,yqjG,b3102,CELLULAR PROCESSES AND SIGNALING
P0A746,msrB,b1778,CELLULAR PROCESSES AND SIGNALING
P76104,ydcP,b1435,CELLULAR PROCESSES AND SIGNALING
P02918,mrcA,b3396,CELLULAR PROCESSES AND SIGNALING
P0A917,ompX,b0814,CELLULAR PROCESSES AND SIGNALING
P0A905,slyB,b1641,CELLULAR PROCESSES AND SIGNALING
P76397,mdtA,b2074,CELLULAR PROCESSES AND SIGNALING
P0C0S1,mscS,b2924,CELLULAR PROCESSES AND SIGNALING
P0A6W5,greA,b3181,INFORMATION STORAGE AND PROCESSING
P13445,rpoS,b2741,INFORMATION STORAGE AND PROCESSING
P0ABF1,pcnB,b0143,INFORMATION STORAGE AND PROCESSING
P0A7J3,rplJ,b3985,INFORMATION STORAGE AND PROCESSING
P0AA10,rplM,b3231,INFORMATION STORAGE AND PROCESSING
P0A7K6,rplS,b2606,INFORMATION STORAGE AND PROCESSING
P0AA43,rsuA,b2183,INFORMATION STORAGE AND PROCESSING
P00960,glyQ,b3560,INFORMATION STORAGE AND PROCESSING
P0ADB1,osmE,b1739,INFORMATION STORAGE AND PROCESSING
P37440,ucpA,b2426,METABOLISM
P12996,bioB,b0775,METABOLISM
P60716,lipA,b0628,METABOLISM
P0AFU8,ribC,b1662,METABOLISM
P0AEN1,fre,b3844,METABOLISM
P0AC86,glgP,b3428,METABOLISM
P0AF18,nagA,b0677,METABOLISM
P0AF24,nagD,b0675,METABOLISM
P09099,xylB,b3564,METABOLISM
P39173,yeaD,b1780,METABOLISM
P15067,glgX,b3431,METABOLISM
P68187,malK,b4035,METABOLISM
P04983,rbsA,b3749,METABOLISM
P37387,xylF,b3566,METABOLISM
P0ABF6,cdd,b2143,METABOLISM
P0A9M2,hpt,b0125,METABOLISM
P0A8F4,udk,b2066,METABOLISM
P69924,nrdB,b2235,METABOLISM
P0A7F3,pyrI,b4244,METABOLISM
P04391,argI,b4254,METABOLISM
P07623,metA,b4013,METABOLISM
P0A7F6,speD,b0120,METABOLISM
P0ADT5,ygiC,b3038,METABOLISM
P0A9S3,gatD,b2091,METABOLISM
P00894,ilvH,b0078,METABOLISM
P0A9S7,livG,b3455,METABOLISM
P77737,oppF,b1247,METABOLISM
P75914,ycdX,b1034,METABOLISM
P29131,ftsN,b3933,CELLULAR PROCESSES AND SIGNALING
P0AF08,mrp,b2113,CELLULAR PROCESSES AND SIGNALING
P0A6U3,mnmG,b3741,CELLULAR PROCESSES AND SIGNALING
P0ACD4,iscU,b2529,METABOLISM
P33232,lldD,b3605,METABOLISM
P0AFC7,nuoB,b2287,METABOLISM
P0A6E6,atpC,b3731,METABOLISM
P00363,frdA,b4154,METABOLISM
P52647,ydbK,b1378,METABOLISM
P37749,wbbI,b2034,
P62768,yaeH,b0163,
P27305,gluQ,,
P13016,ampD,b0110,CELLULAR PROCESSES AND SIGNALING
P77619,yfeW,b2430,CELLULAR PROCESSES AND SIGNALING
P69425,tatB,b3838,CELLULAR PROCESSES AND SIGNALING
P77754,spy,b1743,CELLULAR PROCESSES AND SIGNALING
P0AEC3,arcB,b3210,CELLULAR PROCESSES AND SIGNALING
P15078,cstA,b0598,CELLULAR PROCESSES AND SIGNALING
P45955,ybgF,b0742,POORLY CHARACTERIZED
P27431,ycfD,b1128,POORLY CHARACTERIZED
P76576,yfgM,b2513,POORLY CHARACTERIZED
P0A8A4,ppsR,b1703,POORLY CHARACTERIZED
P76187,ydhF,b1647,POORLY CHARACTERIZED
P32705,actP,b4067,POORLY CHARACTERIZED
P56262,ysgA,b3830,METABOLISM
P0A998,ftnA,b1905,METABOLISM
P36659,cbpA,b1000,CELLULAR PROCESSES AND SIGNALING
P23869,ppiB,b0525,CELLULAR PROCESSES AND SIGNALING
P0A9K9,slyD,b3349,CELLULAR PROCESSES AND SIGNALING
P77395,ybbN,b0492,CELLULAR PROCESSES AND SIGNALING
P30870,glnE,b3053,CELLULAR PROCESSES AND SIGNALING
P0A6G7,clpP,b0437,CELLULAR PROCESSES AND SIGNALING
P0C0L2,osmC,b1482,CELLULAR PROCESSES AND SIGNALING
P05852,tsaD,b3064,CELLULAR PROCESSES AND SIGNALING
P04951,kdsB,b0918,CELLULAR PROCESSES AND SIGNALING
P0ADA3,nlpD,b2742,CELLULAR PROCESSES AND SIGNALING
P25740,rfaG,b3631,CELLULAR PROCESSES AND SIGNALING
P75864,rlmL,b0948,INFORMATION STORAGE AND PROCESSING
P0A812,ruvB,b1860,INFORMATION STORAGE AND PROCESSING
P45799,nudE,b3397,INFORMATION STORAGE AND PROCESSING
P0A780,nusB,b0416,INFORMATION STORAGE AND PROCESSING
P0A7Y0,rnc,b2567,INFORMATION STORAGE AND PROCESSING
P75960,cobB,b1120,INFORMATION STORAGE AND PROCESSING
P24255,rpoN,b3202,INFORMATION STORAGE AND PROCESSING
P0A800,rpoZ,b3649,INFORMATION STORAGE AND PROCESSING
P0ACM5,yegW,b2101,INFORMATION STORAGE AND PROCESSING
P0ACP1,cra,b0080,INFORMATION STORAGE AND PROCESSING
P0A6N4,efp,b4147,INFORMATION STORAGE AND PROCESSING
P0A7R1,rplI,b4203,INFORMATION STORAGE AND PROCESSING
P0A7K2,rplL,b3986,INFORMATION STORAGE AND PROCESSING
P0A7M2,rpmB,b3637,INFORMATION STORAGE AND PROCESSING
P0AG51,rpmD,b3302,INFORMATION STORAGE AND PROCESSING
P39406,rsmC,b4371,INFORMATION STORAGE AND PROCESSING
P32695,dusA,b4049,INFORMATION STORAGE AND PROCESSING
P0A6N8,yeiP,b2171,INFORMATION STORAGE AND PROCESSING
P0AGJ5,yfiF,b2581,INFORMATION STORAGE AND PROCESSING
P45568,dxr,b0173,METABOLISM
P15047,entA,b0596,METABOLISM
P0A6I3,coaA,b3974,METABOLISM
P08192,folC,b2315,METABOLISM
P0ACB2,hemB,b0369,METABOLISM
P12281,moeA,b0827,METABOLISM
P19624,pdxA,b0052,METABOLISM
P0A7I7,ribA,b1277,METABOLISM
P61714,ribE,b0415,METABOLISM
P0A9B6,epd,b2927,METABOLISM
P0AEW9,fruK,b2168,METABOLISM
P15977,malQ,b3416,METABOLISM
P77541,prpB,b0331,METABOLISM
P28904,treC,b4239,METABOLISM
P77739,yniA,b1725,METABOLISM
P39208,idnK,b4268,METABOLISM
P0A9J6,rbsK,b3752,METABOLISM
P22333,add,b1623,METABOLISM
P69503,apt,b0469,METABOLISM
P0A763,ndk,b2518,METABOLISM
P0A7E9,pyrH,b0171,METABOLISM
P10371,hisA,b2024,METABOLISM
P60595,hisH,b2023,METABOLISM
P0A9L8,proC,b0386,METABOLISM
P30744,sdaB,b2797,METABOLISM
P21169,speC,b2965,METABOLISM
P08390,usg,b2319,METABOLISM
P0AB80,ilvE,b3770,METABOLISM
P76316,dcyD,b1919,METABOLISM
P76128,ddpA,b1487,METABOLISM
P63235,gadC,b1492,METABOLISM
P60651,speB,b2937,METABOLISM
P07913,tdh,b3616,METABOLISM
P0A729,yceF,b1087,CELLULAR PROCESSES AND SIGNALING
P0A9R4,fdx,b2525,METABOLISM
P0A9S5,gldA,b3945,METABOLISM
P08201,nirB,b3365,METABOLISM
P45579,ybdH,b0599,METABOLISM
P33219,yebF,b1847,
P31063,yedD,b1928,
P0ADT8,ygiM,,
P0A7A2,gpmB,,
P0A8S1,iciA,,
P68066,grcA,,
P24202,mrr,b4351,CELLULAR PROCESSES AND SIGNALING
P0AGA2,secY,b3300,CELLULAR PROCESSES AND SIGNALING
P0ABV2,exbD,b3005,CELLULAR PROCESSES AND SIGNALING
P0AG86,secB,b3609,CELLULAR PROCESSES AND SIGNALING
P0AFB8,glnG,b3868,CELLULAR PROCESSES AND SIGNALING
P69228,baeR,b2079,CELLULAR PROCESSES AND SIGNALING
P0AE88,cpxR,b3912,CELLULAR PROCESSES AND SIGNALING
P52108,rstA,b1608,CELLULAR PROCESSES AND SIGNALING
P0AG24,spoT,b3650,CELLULAR PROCESSES AND SIGNALING
P0ACZ8,cusR,b0571,CELLULAR PROCESSES AND SIGNALING
P52076,qseB,b3025,CELLULAR PROCESSES AND SIGNALING
P0AEH5,elaB,b2266,POORLY CHARACTERIZED
P0AFP6,ybgI,b0710,POORLY CHARACTERIZED
P34209,ydcF,b1414,POORLY CHARACTERIZED
P0A8A0,yebC,b1864,POORLY CHARACTERIZED
P0ADU2,ygiN,b3029,POORLY CHARACTERIZED
P0ADV1,lptA,b3200,POORLY CHARACTERIZED
P27434,rodZ,b2516,POORLY CHARACTERIZED
Q57261,truD,b2745,POORLY CHARACTERIZED
P67603,yqfB,b2900,POORLY CHARACTERIZED
P76053,ydaL,b1340,POORLY CHARACTERIZED
P0AEY5,mdaB,b3028,POORLY CHARACTERIZED
P0A9G8,modE,b0761,POORLY CHARACTERIZED
P77529,ydjN,b1729,POORLY CHARACTERIZED
P0AD05,yecA,b1908,POORLY CHARACTERIZED
P31064,yedE,b1929,POORLY CHARACTERIZED
P0ADP0,yigB,b3812,POORLY CHARACTERIZED
P30863,dkgB,b0207,POORLY CHARACTERIZED
P0ADR6,rlmM,b2806,POORLY CHARACTERIZED
P24203,yjiA,b4352,POORLY CHARACTERIZED
P37634,rlmJ,b3499,POORLY CHARACTERIZED
P10378,entE,b0594,METABOLISM
P0ABI4,corA,b3816,METABOLISM
P0ABB8,mgtA,b4242,METABOLISM
P30750,metN,b0199,METABOLISM
P0AG27,yibN,b3611,METABOLISM
Q46871,yqjH,b3070,METABOLISM
P0A6F9,groS,b4142,CELLULAR PROCESSES AND SIGNALING
P63020,nfuA,b3414,CELLULAR PROCESSES AND SIGNALING
P05458,ptrA,b2821,CELLULAR PROCESSES AND SIGNALING
P0ADX1,yhfA,b3356,CELLULAR PROCESSES AND SIGNALING
P25894,loiP,b2936,CELLULAR PROCESSES AND SIGNALING
P07862,ddlB,b0092,CELLULAR PROCESSES AND SIGNALING
P17115,gutQ,b2708,CELLULAR PROCESSES AND SIGNALING
P61320,lolB,b1209,CELLULAR PROCESSES AND SIGNALING
P0A908,mipA,b1782,CELLULAR PROCESSES AND SIGNALING
P0AEU7,skp,b0178,CELLULAR PROCESSES AND SIGNALING
P0AD12,yeeZ,b2016,CELLULAR PROCESSES AND SIGNALING
P51981,ycjG,b1325,CELLULAR PROCESSES AND SIGNALING
P0AFV4,mepS,b2175,CELLULAR PROCESSES AND SIGNALING
P03004,dnaA,b3702,INFORMATION STORAGE AND PROCESSING
P0A988,dnaN,b3701,INFORMATION STORAGE AND PROCESSING
P0A6C1,nfo,b2159,INFORMATION STORAGE AND PROCESSING
P0AGE0,ssb,b4059,INFORMATION STORAGE AND PROCESSING
P0A6Y1,ihfB,b0912,INFORMATION STORAGE AND PROCESSING
P0AFI2,parC,b3019,INFORMATION STORAGE AND PROCESSING
P0A8V6,fadR,b1187,INFORMATION STORAGE AND PROCESSING
P0ACI0,rob,b4396,INFORMATION STORAGE AND PROCESSING
P0A8W2,slyA,b1642,INFORMATION STORAGE AND PROCESSING
P0ACU7,yjdC,b4135,INFORMATION STORAGE AND PROCESSING
P03024,galR,b2837,INFORMATION STORAGE AND PROCESSING
P0AGK8,iscR,b2531,INFORMATION STORAGE AND PROCESSING
P0ACR9,mprA,b2684,INFORMATION STORAGE AND PROCESSING
P0ACT6,uidR,b1618,INFORMATION STORAGE AND PROCESSING
P16384,miaA,b4171,INFORMATION STORAGE AND PROCESSING
P0A7G2,rbfA,b3167,INFORMATION STORAGE AND PROCESSING
P02413,rplO,b3301,INFORMATION STORAGE AND PROCESSING
P61175,rplV,b3315,INFORMATION STORAGE AND PROCESSING
P0A7M9,rpmE,b3936,INFORMATION STORAGE AND PROCESSING
P60340,truB,b3166,INFORMATION STORAGE AND PROCESSING
P25745,mnmA,b1133,INFORMATION STORAGE AND PROCESSING
P0A7X6,rimM,b2608,INFORMATION STORAGE AND PROCESSING
P63177,rlmB,b4180,INFORMATION STORAGE AND PROCESSING
P33643,rluD,b2594,INFORMATION STORAGE AND PROCESSING
P0A951,speG,b1584,INFORMATION STORAGE AND PROCESSING
P07649,truA,b2318,INFORMATION STORAGE AND PROCESSING
P0AF93,ridA,b4243,INFORMATION STORAGE AND PROCESSING
P0A6Q3,fabA,b0954,METABOLISM
P0A6Q6,fabZ,b0180,METABOLISM
P41407,azoR,b1412,METABOLISM
P31808,yciK,b1271,METABOLISM
P37769,kduD,b2842,METABOLISM
P0A794,pdxJ,b2564,METABOLISM
P76290,cmoA,b1870,METABOLISM
P0A9J4,panE,b0425,METABOLISM
P0A7J0,ribB,b3041,METABOLISM
P0A6U8,glgA,b3429,METABOLISM
P08194,glpT,b2240,METABOLISM
P31677,otsA,b1896,METABOLISM
P76014,dhaL,b1199,METABOLISM
P20966,fruA,b2167,METABOLISM
P37188,gatB,b2093,METABOLISM
P69828,gatA,b2094,METABOLISM
P37676,yiaO,b3579,METABOLISM
P0A6I0,cmk,b0910,METABOLISM
P0A9M5,gpt,b0238,METABOLISM
P09029,purK,b0522,METABOLISM
P39377,iadA,b4328,METABOLISM
P41409,rihA,b0651,METABOLISM
P22564,rihC,b0030,METABOLISM
P07639,aroB,b3389,METABOLISM
P00887,aroH,b1704,METABOLISM
P0AED7,dapE,b2472,METABOLISM
P60664,hisF,b2025,METABOLISM
P00861,lysA,b2838,METABOLISM
P40874,solA,b1059,METABOLISM
P09158,speE,b0121,METABOLISM
P0A6L4,nanA,b3225,METABOLISM
P22731,livF,b3454,METABOLISM
P69874,potA,b1126,METABOLISM
Q5H777,puuA,b1297,METABOLISM
P33360,yehX,b2129,METABOLISM
P0ADQ2,yiiD,b3888,METABOLISM
P0A9R7,ftsE,b3463,CELLULAR PROCESSES AND SIGNALING
P46889,ftsK,b0890,CELLULAR PROCESSES AND SIGNALING
P0A734,minE,b1174,CELLULAR PROCESSES AND SIGNALING
P60293,mukF,b0922,CELLULAR PROCESSES AND SIGNALING
P20605,fic,b3361,CELLULAR PROCESSES AND SIGNALING
P61949,fldA,b0684,METABOLISM
P09148,galT,b0758,METABOLISM
P0A9S1,fucO,b2799,METABOLISM
P0ACD8,hyaB,b0973,METABOLISM
P23883,puuC,b1300,METABOLISM
P52643,ldhA,b1380,METABOLISM
P76594,yfiQ,b2584,METABOLISM
P77212,rclA,b0304,METABOLISM
P0A784,orn,b4162,INFORMATION STORAGE AND PROCESSING
P07102,appA,b0980,
P0AD59,ivy,b0220,
P0ADX7,yhhA,b3448,
P0ADK0,yiaF,b3554,
P65556,yfcD,b2299,
P62517,mdoH,,
P27828,wecB,,
P40120,mdoD,,
P0AF12,mtnN,,
P75957,lolD,b1117,CELLULAR PROCESSES AND SIGNALING
P08956,hsdR,b4350,CELLULAR PROCESSES AND SIGNALING
P36879,yadG,b0127,CELLULAR PROCESSES AND SIGNALING
P60752,msbA,b0914,CELLULAR PROCESSES AND SIGNALING
P69428,tatA,b3836,CELLULAR PROCESSES AND SIGNALING
P0ABU7,exbB,b3006,CELLULAR PROCESSES AND SIGNALING
P00803,lepB,b2568,CELLULAR PROCESSES AND SIGNALING
P0AG93,secF,b0409,CELLULAR PROCESSES AND SIGNALING
P37177,ptsP,b2829,CELLULAR PROCESSES AND SIGNALING
P39838,rcsD,b2216,CELLULAR PROCESSES AND SIGNALING
P39396,yjiY,b4354,CELLULAR PROCESSES AND SIGNALING
P21866,kdpE,b0694,CELLULAR PROCESSES AND SIGNALING
P77213,ybdK,b0581,POORLY CHARACTERIZED
P75838,ycaO,b0905,POORLY CHARACTERIZED
P0AB43,ycgL,b1179,POORLY CHARACTERIZED
P21362,yciF,b1258,POORLY CHARACTERIZED
P31130,ydeI,b1536,POORLY CHARACTERIZED
P77148,ydhS,b1668,POORLY CHARACTERIZED
P64483,yeaK,b1787,POORLY CHARACTERIZED
P33218,yebE,b1846,POORLY CHARACTERIZED
P76402,yegP,b2080,POORLY CHARACTERIZED
P0ADS6,yggE,b2922,POORLY CHARACTERIZED
P0ADU5,ygiW,b3024,POORLY CHARACTERIZED
P0ADP9,yihD,b3858,POORLY CHARACTERIZED
P77214,cusF,b0573,POORLY CHARACTERIZED
Q46920,queF,b2794,POORLY CHARACTERIZED
P64530,rcnR,b2105,POORLY CHARACTERIZED
P0A8A8,rimP,b3170,POORLY CHARACTERIZED
P0A8X0,yjgA,b4234,POORLY CHARACTERIZED
Q46868,yqiC,b3042,POORLY CHARACTERIZED
P0AF36,zapB,b3928,POORLY CHARACTERIZED
P66948,bepA,b2494,POORLY CHARACTERIZED
P23827,eco,b2209,POORLY CHARACTERIZED
P0AFZ3,sspB,b3228,POORLY CHARACTERIZED
P75736,ybfF,b0686,POORLY CHARACTERIZED
P21829,ybhA,b0766,POORLY CHARACTERIZED
P67095,yfcE,b2300,POORLY CHARACTERIZED
P77775,yfcH,b2304,POORLY CHARACTERIZED
P67080,yggS,b2951,POORLY CHARACTERIZED
P46852,yhhW,b3439,POORLY CHARACTERIZED
P37648,yhjJ,b3527,POORLY CHARACTERIZED
P42641,obgE,b3183,POORLY CHARACTERIZED
Q5H776,puuD,b1298,POORLY CHARACTERIZED
P75876,rlmI,b0967,POORLY CHARACTERIZED
Q46948,yajL,b0424,POORLY CHARACTERIZED
P64429,ypfJ,b2475,POORLY CHARACTERIZED
P64596,yraP,b3150,POORLY CHARACTERIZED
P42624,yhaK,b3106,POORLY CHARACTERIZED
P27848,yigL,b3826,POORLY CHARACTERIZED
P75931,yceM,b1068,POORLY CHARACTERIZED
P0A6J1,cysC,b2750,METABOLISM
P0AFJ7,pitA,b3493,METABOLISM
P0AGD3,sodB,b1656,METABOLISM
P0AGD1,sodC,b1646,METABOLISM
P0A9L3,fklB,b4207,CELLULAR PROCESSES AND SIGNALING
P0A9N4,pflA,b0902,CELLULAR PROCESSES AND SIGNALING
P63284,clpB,b2592,CELLULAR PROCESSES AND SIGNALING
P77544,yfcF,b2301,CELLULAR PROCESSES AND SIGNALING
P0ACA1,yibF,b3592,CELLULAR PROCESSES AND SIGNALING
P0AA25,trxA,b3781,CELLULAR PROCESSES AND SIGNALING
P0AAN3,hypB,b2727,CELLULAR PROCESSES AND SIGNALING
P08395,sppA,b1766,CELLULAR PROCESSES AND SIGNALING
P07017,tar,b1886,CELLULAR PROCESSES AND SIGNALING
P0A9H7,cfa,b1661,CELLULAR PROCESSES AND SIGNALING
P29012,dadX,b1190,CELLULAR PROCESSES AND SIGNALING
P37760,rfbD,b2040,CELLULAR PROCESSES AND SIGNALING
P37194,slp,b3506,CELLULAR PROCESSES AND SIGNALING
P37645,yhjG,b3524,CELLULAR PROCESSES AND SIGNALING
P37665,yiaD,b3552,CELLULAR PROCESSES AND SIGNALING
P39285,mscM,b0577,CELLULAR PROCESSES AND SIGNALING
P02929,tonB,b1252,CELLULAR PROCESSES AND SIGNALING
Q6BF17,dgoD,b4478,CELLULAR PROCESSES AND SIGNALING
P77552,ydhQ,b1664,CELLULAR PROCESSES AND SIGNALING
P0ADA5,yajG,b0434,CELLULAR PROCESSES AND SIGNALING
P77338,mscK,b0465,CELLULAR PROCESSES AND SIGNALING
P0AFQ7,ycfH,b1100,INFORMATION STORAGE AND PROCESSING
P23909,mutS,b2733,INFORMATION STORAGE AND PROCESSING
P0AFY8,seqA,b0687,INFORMATION STORAGE AND PROCESSING
P0CE49,insH,b0259,INFORMATION STORAGE AND PROCESSING
P0A9H1,mug,b3068,INFORMATION STORAGE AND PROCESSING
P21893,recJ,b2892,INFORMATION STORAGE AND PROCESSING
P0A8W5,yqgE,b2948,INFORMATION STORAGE AND PROCESSING
P0A8U6,metJ,b3938,INFORMATION STORAGE AND PROCESSING
P45425,nanK,b3222,INFORMATION STORAGE AND PROCESSING
P0A9F1,mntR,b0817,INFORMATION STORAGE AND PROCESSING
P0A8D0,nrdR,b0413,INFORMATION STORAGE AND PROCESSING
P77300,yagI,b0272,INFORMATION STORAGE AND PROCESSING
P0A7D1,pth,b1204,INFORMATION STORAGE AND PROCESSING
P0A7U3,rpsS,b3316,INFORMATION STORAGE AND PROCESSING
P68679,rpsU,b3065,INFORMATION STORAGE AND PROCESSING
P0A873,trmD,b2607,INFORMATION STORAGE AND PROCESSING
P0AA37,rluA,b0058,INFORMATION STORAGE AND PROCESSING
P0AFR4,yciO,b1267,INFORMATION STORAGE AND PROCESSING
P0A9J0,rng,b3247,INFORMATION STORAGE AND PROCESSING
P0ABD8,accB,b3255,METABOLISM
Q46939,yqeF,b2844,METABOLISM
P0ABQ2,garR,b3125,METABOLISM
P12995,bioA,b0774,METABOLISM
P0AC13,folP,b3177,METABOLISM
P0ABU0,menB,b2262,METABOLISM
P0A738,moaC,b0783,METABOLISM
P0AFI7,pdxH,b1638,METABOLISM
P0AG40,ribF,b0025,METABOLISM
P36553,hemF,b2436,METABOLISM
P25539,ribD,b0414,METABOLISM
P26612,amyA,b1927,METABOLISM
P0A955,eda,b1850,METABOLISM
P39366,sgcX,b4305,METABOLISM
P77713,yagH,b0271,METABOLISM
P0AEX3,kgtP,b2587,METABOLISM
P39829,garD,b3128,METABOLISM
P0A9C9,glpX,b3925,METABOLISM
P37647,kdgK,b3526,METABOLISM
P76142,lsrB,b1516,METABOLISM
P25718,malS,b3571,METABOLISM
P0AA04,ptsH,b2415,METABOLISM
P0C0L7,proP,b4111,METABOLISM
P69829,ptsN,b3204,METABOLISM
P31806,nnr,b4167,METABOLISM
P60546,gmk,b3648,METABOLISM
P0A720,tmk,b1098,METABOLISM
P0AFL6,ppx,b2502,METABOLISM
P52061,rdgB,b2954,METABOLISM
P0A9D4,cysE,b3607,METABOLISM
P0A962,ansA,b1767,METABOLISM
P75682,yagE,b0268,METABOLISM
P0A959,alaA,b2290,METABOLISM
P77434,alaC,b2379,METABOLISM
P77581,astC,b1748,METABOLISM
P10346,glnQ,b0809,METABOLISM
P37595,iaaA,b0828,METABOLISM
P77348,mppA,b1329,METABOLISM
P14175,proV,b2677,METABOLISM
P77795,ydcT,b1441,METABOLISM
P37690,envC,b3613,CELLULAR PROCESSES AND SIGNALING
P0AAJ5,fdoH,b3893,METABOLISM
P0A6S7,gpsA,b3608,METABOLISM
P0AFD6,nuoI,b2281,METABOLISM
P77258,nemA,b1650,METABOLISM
P23886,cydC,b0886,METABOLISM
P29018,cydD,b0887,METABOLISM
P24251,crl,b0240,
P03841,malM,b4037,
P16525,tus,b1610,
P75818,ybjP,b0865,
P42616,yqjC,b3097,
P37005,lasT,,
P0A6P7,engB,,
P0CE60,JW58,,
Q46927,ygdL,,
P27303,emrA,b2685,CELLULAR PROCESSES AND SIGNALING
P0AAH8,sapF,b1290,CELLULAR PROCESSES AND SIGNALING
P75777,ybhG,b0795,CELLULAR PROCESSES AND SIGNALING
